,doch,jedoch,aber,andererseits,allerdings,hingegen
contents,1,1,3,0,0,0
contest,1,0,1,0,0,0
context,4,8,15,1,3,0
continent,2,1,2,0,0,0
continental,0,0,1,0,0,0
continually,0,1,2,0,0,0
continue,13,27,30,0,4,0
continued,2,4,5,0,0,0
continues,1,9,9,0,0,1
continuing,1,4,2,0,0,0
continuity,1,1,0,0,0,0
continuous,1,0,3,0,0,0
continuously,1,0,0,0,0,0
contra-contras,0,0,1,0,0,0
contract,2,1,4,0,0,0
contracting,0,1,1,1,0,0
contracts,0,2,2,0,0,0
contradict,0,0,3,0,0,0
contradicted,0,0,0,0,1,0
contradiction,0,4,1,0,0,0
contradictions,0,1,0,0,0,0
contradictory,1,0,4,0,0,0
contradicts,0,1,1,0,0,0
contrary,4,11,6,2,3,9
contrast,0,1,0,1,1,7
contribute,0,2,3,0,0,0
contributed,0,2,0,0,0,0
contributes,0,1,0,0,0,0
contribution,3,5,9,0,0,0
contributions,5,1,2,1,0,0
contributor,0,0,0,0,1,0
control,5,13,28,4,0,0
controlled,3,1,4,0,0,0
controller,0,1,0,0,0,0
controllers,0,0,0,1,0,0
controlling,0,0,2,0,0,0
controls,1,2,5,0,0,0
controversial,2,3,4,0,0,0
controversially,1,0,0,0,0,0
controversy,0,0,3,0,0,0
convenience,0,1,0,0,0,0
convenient,0,0,1,0,0,0
convention,0,8,19,1,1,1
convention;,0,0,1,0,0,0
conventional,0,0,3,0,0,0
conventions,0,0,6,0,1,0
converge,0,0,3,0,0,0
convergence,0,2,5,1,0,0
conversations,0,0,1,0,0,0
conversely,0,1,0,10,1,5
convert,0,1,0,0,0,0
converted,0,1,0,0,0,0
converting,0,1,0,0,0,0
convey,0,1,2,0,0,0
conveys,0,0,1,0,0,0
convicted,0,2,1,0,0,0
conviction,0,1,2,0,0,0
convictions,1,0,0,0,0,0
convince,1,0,2,0,0,0
convinced,2,15,14,0,1,2
convincing,2,2,1,0,0,0
cook,1,0,0,0,0,0
cooked,0,1,0,0,0,0
cooling,0,0,1,0,0,0
cooper,1,0,0,0,0,0
cooperate,1,1,2,0,0,0
cooperated,0,1,0,0,0,0
cooperating,0,0,2,1,0,0
cooperation,9,8,22,2,2,0
cooperatively,0,0,1,0,0,0
coordinate,0,1,0,0,0,0
coordinated,3,0,2,0,0,0
coordinating,0,0,1,0,1,0
coordination,3,4,11,3,2,0
coordinators,0,0,1,0,0,0
cop,0,1,0,0,0,0
copenhagen,1,1,4,0,0,0
copenhagen;,0,0,1,0,0,0
copy,1,0,0,0,0,0
copyright,0,1,1,2,0,0
corbett,1,0,1,0,0,0
core,0,0,3,0,0,0
corner,1,1,0,0,0,0
cornerstone,1,0,0,0,0,0
cornerstones,0,0,2,0,0,0
corporate,0,1,2,1,0,0
corporation,0,0,2,0,0,0
corporations,0,2,1,0,0,0
corpse,0,0,1,0,0,0
corpus,0,0,1,0,0,0
correct,2,4,10,0,2,0
corrected,0,1,5,0,0,0
correction,0,0,2,0,2,0
correctly,2,0,3,0,1,0
correspond,0,0,3,0,0,0
correspondence,0,0,2,0,0,0
corresponding,0,0,1,1,0,0
corresponds,0,0,1,0,0,0
corridors,0,0,1,0,0,0
corrie,0,0,0,0,1,0
corrigendum,1,0,0,0,0,0
corrupt,0,0,1,0,0,0
corruption,1,0,5,0,0,0
cosmetic,0,0,1,0,0,0
cosmetics,1,0,2,0,0,0
cost,5,4,9,2,1,1
cost-benefit,0,0,1,0,0,0
cost-effectiveness,0,0,1,0,0,0
costa,1,1,0,0,0,0
costly,2,1,4,0,0,0
costs,4,9,22,2,3,0
cot,0,1,0,0,0,0
cotonou,0,1,1,0,0,0
could,30,51,75,5,12,4
council,39,62,117,3,15,4
council',0,1,2,0,0,0
council's,3,3,5,0,1,0
councillor,0,1,0,0,0,0
councils,1,0,1,0,0,0
council’s,0,0,1,0,0,0
count,1,2,4,0,0,0
counter,1,1,1,0,0,0
counter-terrorism,0,1,0,0,0,0
counterbalanced,0,1,0,0,0,0
counterfeit,0,0,1,0,0,0
counterfeited,0,1,0,0,0,0
counterfeiting,1,0,0,0,0,0
counterpart,0,0,1,0,0,0
counterparts,0,0,2,0,0,0
counties,0,0,1,0,0,0
counting,1,0,0,0,1,0
countries,35,44,125,14,15,4
countries',1,1,0,0,0,0
countries;,0,1,1,1,0,0
country,25,19,45,2,5,0
country's,1,0,1,0,0,0
country-specific,0,1,0,0,0,0
country;,1,0,0,0,0,0
countrymen,0,0,1,0,0,0
countryside,2,0,1,0,0,0
country’s,0,0,1,0,0,0
counts,1,2,3,0,0,0
coup,0,0,1,0,0,0
couple,0,2,2,0,1,0
coupled,0,0,1,0,0,0
courage,3,1,3,0,1,0
course,29,29,138,4,24,1
course;,0,0,2,0,0,0
courses,0,0,1,0,0,0
court,8,5,10,0,1,0
court-martial,0,0,1,0,0,0
courtesy,1,0,1,0,0,0
courts,1,2,2,0,0,0
couto,0,0,1,0,0,0
covenant,0,0,2,0,0,0
cover,2,0,4,1,1,0
coverage,0,0,1,0,0,0
covered,3,3,7,0,0,0
covering,0,1,0,0,0,0
covers,2,2,1,0,0,0
covert,0,1,0,0,0,0
cowboy,0,0,1,0,0,0
coûteaux,0,0,0,1,0,0
crafts,0,1,0,0,0,0
craftsmanship,0,0,1,0,0,0
crash,0,0,0,0,1,0
crazy,2,0,1,0,0,0
creams,1,0,0,0,0,0
create,3,7,26,1,0,0
created,3,7,4,0,0,0
creates,2,0,1,1,2,0
creating,2,1,5,1,0,0
creation,0,2,6,1,0,1
creative,0,0,2,1,0,0
creativity,0,1,0,0,0,0
credibility,0,0,5,0,1,0
credible,1,1,1,0,0,0
credit,1,1,8,1,0,0
credit-rating,0,0,0,1,0,0
creditors,2,0,0,0,0,0
credits,0,0,1,0,0,0
creed,1,0,0,0,0,0
crept,0,1,0,0,0,0
cresson,0,0,0,0,1,0
creutzfeldt-jakob,0,0,1,0,0,0
crews,0,0,1,0,0,0
crime,2,2,12,0,0,0
crimes,1,1,5,0,1,0
criminal,4,2,7,3,0,0
criminalise,0,0,2,0,0,1
criminalising,1,1,0,0,0,0
criminality,0,0,2,0,0,0
criminals,2,0,0,0,0,0
crises,1,1,5,1,0,0
crises;,0,0,0,0,1,0
crisis,7,17,29,2,2,0
criteria,3,3,15,2,5,0
criteria',0,1,0,0,0,0
criterion,2,0,1,0,0,0
criterion;,0,1,0,0,0,0
critical,2,9,13,0,1,0
critically,0,1,1,0,0,0
criticise,0,2,5,0,0,0
criticised,0,1,0,0,1,0
criticism,2,6,10,1,1,1
criticism;,0,0,1,0,0,0
criticisms,0,1,4,0,1,0
criticize,0,0,1,0,0,0
critique,0,0,1,0,0,0
croatia,1,1,4,0,1,0
croatia's,1,0,0,0,0,0
croatian,0,0,1,0,0,0
crocodile,1,0,1,0,0,0
cronies,0,0,1,0,0,0
crop,0,0,1,0,0,0
crops,1,0,2,0,0,1
cross,0,0,2,0,0,0
cross-border,2,0,2,0,1,0
cross-cutting,0,1,0,0,0,0
crossed,0,0,1,0,0,0
crossing,1,1,0,0,0,0
crossroads,0,1,0,0,1,0
crowley,2,0,0,0,0,0
crucial,6,9,13,0,2,0
crude,0,1,1,0,0,0
cruel,0,0,2,0,0,0
cruellest,0,0,1,0,0,0
crusade,1,0,0,0,0,0
crushed,0,1,0,0,0,0
crux,0,1,0,0,0,0
csaba,1,0,0,0,0,0
csu,0,0,1,0,0,0
cuba,0,0,4,0,0,0
cuba's,0,0,1,0,0,0
cuban,0,0,1,0,0,0
cubans,0,0,1,0,0,0
culling,0,0,1,0,0,0
culprits,0,1,1,0,0,0
cultivation,0,1,2,0,0,0
cultural,0,2,9,0,1,0
culture,3,1,4,1,1,0
cultured,1,0,0,0,0,0
cultures,1,3,5,0,1,0
cumulative,0,0,1,0,0,0
cunha,1,0,0,0,0,0
cunningham's,0,0,1,0,0,0
cup,0,1,2,0,0,0
curb,0,0,1,1,0,0
cure,1,0,4,0,0,0
cure-all,1,0,1,0,0,0
cured,0,0,0,0,1,0
curing,0,0,1,0,0,0
curious,3,0,0,0,0,0
curiously,0,0,1,0,0,0
currencies,0,1,0,0,0,0
currency,2,0,8,0,1,1
current,13,11,18,1,4,1
currently,6,6,13,0,2,0
curtailing,0,1,0,0,0,0
curtain,0,0,1,0,0,0
custodiet,0,0,0,0,1,0
custody,0,1,0,0,0,0
customary,0,2,1,0,0,0
customer,0,0,1,0,0,0
customers,0,0,3,0,0,0
customs,1,2,4,0,1,0
cut,0,1,2,0,0,1
cuts,0,3,2,0,0,0
cutting,0,0,0,0,0,1
cyber,1,0,1,0,0,0
cycle,0,0,3,0,0,0
cyclists,0,0,1,0,0,0
cynical,0,1,1,0,0,0
cynically,0,0,2,0,0,0
cypriot,0,0,1,0,0,0
cyprus,3,2,3,0,0,1
czech,0,0,1,0,0,0
côte,1,0,2,0,0,0
d'ivoire,0,0,0,1,1,0
d'tre,0,1,0,0,0,0
da,0,0,1,0,0,0
dabbling,1,0,0,0,0,0
dae-jung,0,1,0,0,0,0
daft,0,0,1,0,0,0
daily,0,0,2,0,0,0
dairy,1,0,1,0,0,0
dalits,0,0,1,0,0,0
damage,1,2,7,0,2,0
damaged,0,0,0,0,1,0
damages,0,1,0,0,0,0
damaging,1,0,1,0,0,0
damascus,1,0,0,0,0,0
damper,0,1,0,0,0,0
dancing,1,0,0,0,0,0
danger,4,2,7,0,1,0
dangerous,1,2,11,0,0,0
dangerously,0,1,0,0,1,0
dangers,0,0,2,0,0,0
danish,0,2,2,0,1,0
danube,0,1,0,1,0,0
dare,1,1,2,0,1,0
dark,0,0,1,0,1,0
darkness,0,0,1,0,0,0
das,0,0,1,0,0,0
dashed,0,0,1,0,0,0
data,4,6,19,2,0,0
database,1,0,1,0,0,0
date,3,9,8,1,3,0
dates,0,1,3,0,0,0
dates',0,0,1,0,0,0
day,9,11,13,0,3,0
day-to-day,0,0,2,0,0,0
days,6,1,5,0,2,0
days',0,0,0,1,0,0
days;,0,0,1,0,0,0
dayton,0,0,1,0,0,0
de,3,0,3,0,1,0
dead,0,1,2,1,0,0
deadline,1,2,0,0,0,0
deadline;,1,0,0,0,0,0
deadlines,1,0,0,0,0,0
deadlock,0,0,1,0,0,0
deaf,1,1,1,0,0,0
deal,14,9,35,0,6,1
dealing,3,7,4,0,0,0
deals,0,2,1,0,1,0
dealt,6,3,5,0,3,0
dear,1,0,0,0,0,0
dear;,0,0,0,0,1,0
death,2,4,8,0,1,0
deathly,0,0,1,0,0,0
deaths,0,0,1,0,1,0
deauville,0,0,1,0,0,0
debate,27,20,75,3,7,1
debated,0,0,5,0,1,0
debates,2,4,10,0,0,0
debating,1,1,2,0,0,0
debilitated,0,0,1,0,0,0
debt,4,3,12,0,0,1
debtors',1,0,0,0,0,0
debts,0,1,1,0,0,0
decade,0,1,0,0,1,0
deceive,2,3,0,0,0,0
december,0,5,9,0,2,0
decent,1,0,2,0,0,0
decentralisation,0,0,0,0,1,0
deceptive,0,0,0,0,1,0
decide,1,3,7,0,1,0
decided,4,17,8,0,1,2
decidedly,0,0,1,0,0,0
deciding,2,0,1,0,0,0
decision,10,7,25,0,5,1
decision-making,2,3,7,0,0,0
decisions,3,11,21,0,2,0
decision’,0,1,0,0,0,0
decisive,0,3,9,0,1,0
declaration,0,2,5,0,1,0
declarations,0,1,2,0,0,0
declare,0,0,2,0,0,0
declared,2,2,3,0,0,0
declaring,0,2,0,0,0,0
decline,0,1,0,0,1,0
declined,0,0,2,0,0,0
declining,0,0,1,0,0,0
deconcentration,1,0,0,0,0,0
decoupling,0,1,0,0,1,0
decrease,0,0,1,0,0,0
decreased,0,2,1,0,0,0
decreases,0,1,0,0,0,0
decreasing,0,0,2,0,0,0
deed,0,0,1,0,0,0
deeds,0,0,1,0,0,0
deem,1,0,0,0,0,0
deemed,0,1,0,0,0,0
deep,0,0,2,0,1,0
deep-sea,0,0,1,0,0,0
deep-seated,0,0,1,0,0,0
deepest,0,0,1,0,0,0
deeply,4,8,2,0,2,1
default,1,0,1,0,0,0
defeat,1,1,2,0,0,0
defeated,1,0,1,0,0,1
defective,0,0,0,0,1,0
defence,2,3,10,0,1,0
defend,3,1,7,0,0,0
defendable,0,0,1,0,0,0
defending,0,0,3,0,0,0
deference,1,0,0,0,0,0
deferral,0,0,1,0,0,0
defiance,1,0,0,0,0,0
deficiencies,1,0,2,0,0,0
deficient,0,0,1,0,0,0
deficit,0,3,1,0,0,0
deficits,1,0,0,1,0,0
defies,0,1,0,0,0,0
define,1,2,1,0,0,0
defined,1,3,3,1,1,0
defines,0,1,0,0,0,0
defining,1,0,0,0,1,0
definite,0,1,1,0,0,0
definitely,2,3,6,0,0,0
definition,0,1,0,0,2,0
definitive,1,0,0,0,0,0
deflect,0,0,1,0,0,0
degenerated,0,0,0,0,0,1
degree,2,1,10,1,2,0
degrees,0,0,1,0,0,0
deinstitutionalisation,0,0,0,0,1,0
del,0,0,1,0,0,0
delay,2,3,4,0,0,0
delayed,1,0,2,0,1,0
delaying,0,0,1,0,0,0
delays,0,3,3,0,0,0
delegate,0,0,1,0,0,0
delegated,1,0,0,0,0,0
delegation,0,4,4,0,1,0
delegations,1,0,4,0,2,0
delete,1,0,0,0,0,0
deleted,0,1,0,0,1,0
deletion,0,0,1,0,0,0
deletions,0,0,1,0,0,0
deliberate,0,0,2,0,1,0
deliberately,0,1,1,0,0,0
deliberation,0,0,1,0,0,0
deliberative,0,1,0,0,0,0
delicate,0,0,1,1,0,0
delight,0,0,1,0,0,0
delighted,3,2,0,0,0,0
delightful,0,0,1,0,0,0
delimitation,0,1,0,0,0,0
deliver,2,0,3,0,0,0
delivered,1,0,2,0,0,0
delivering,1,0,1,0,0,0
delivers,0,0,1,0,0,0
dell'utri,0,0,1,0,0,0
delors,1,0,1,0,0,0
delta,0,0,1,0,0,0
delude,1,0,2,0,1,0
dem,1,0,0,0,0,0
demagoguery,0,0,2,0,0,0
demand,2,3,11,1,2,0
demand-driven,0,1,0,0,0,0
demanded,2,1,2,0,0,0
demanding,1,0,2,0,0,0
demands,2,7,13,3,1,0
democracies,0,1,2,0,0,0
democracy,11,2,28,2,0,0
democracy's,0,1,0,0,0,0
democrat,0,1,1,0,0,0
democratic,2,4,7,2,0,0
democratic-led,0,1,0,0,0,0
democratically,0,0,1,0,0,0
democratisation,0,1,0,0,0,0
democrats,2,2,8,0,2,0
democrats),1,1,2,0,2,0
demographic,0,0,2,0,0,0
demonising,0,0,1,0,0,0
demonstrably,0,0,1,0,0,0
demonstrate,3,3,1,0,0,0
demonstrated,2,5,1,0,1,0
demonstrates,5,3,3,0,0,0
demonstrating,1,0,0,0,0,0
demonstration,0,0,1,0,0,0
demonstrations,0,0,1,0,1,0
demoted,0,0,1,0,0,0
denials,1,0,0,0,0,0
denied,1,3,1,0,0,0
denies,1,0,0,0,0,0
denmark,0,1,5,0,0,0
denote,0,0,1,0,0,0
denounce,1,0,1,0,0,0
dense,0,0,1,0,0,0
density,0,0,0,0,1,0
deny,3,4,3,0,0,0
denying,0,0,1,0,0,0
deodorants,0,0,1,0,0,0
departing,0,1,0,0,0,0
department,1,0,0,0,0,0
departments,0,2,2,0,0,0
departure,1,0,0,0,0,0
depend,0,2,2,0,1,1
depended,0,1,0,0,0,0
dependence,0,0,1,0,1,0
dependency,0,0,1,0,0,0
dependent,1,2,2,0,0,0
dependents,0,0,1,0,0,0
depending,0,0,4,0,0,0
depends,1,7,9,0,1,1
depict,0,0,2,0,0,0
depiction,0,0,1,0,0,0
deplete,0,0,0,1,0,0
deplorable,1,0,2,0,0,0
deplore,0,4,3,0,1,1
deplored,0,1,0,0,0,0
deplores,0,2,0,1,0,0
deploying,0,0,1,0,0,0
deployment,0,0,1,1,0,0
deportation,1,0,0,0,0,0
deported,1,0,0,0,0,0
depositories,0,0,1,0,0,0
depressed,0,1,1,0,0,0
depressing,1,1,1,0,0,0
depressingly,1,0,0,0,0,0
depression,1,0,0,0,0,0
deprived,0,1,1,0,0,0
deprives,0,0,1,0,0,0
depriving,1,0,0,0,0,0
depth,1,0,2,1,0,0
depths,1,0,0,0,0,0
deputy,1,0,0,0,0,0
derailment,0,0,1,0,0,0
deregulation,1,0,2,0,0,1
derivatives,0,0,0,0,1,0
derived,1,0,1,0,0,0
derogate,0,0,0,0,1,0
derogation,0,1,1,0,0,0
derogations,0,1,0,0,0,0
desailly,0,0,1,0,0,0
descendants,0,0,2,0,0,0
descent,0,0,1,0,0,0
describe,0,1,1,0,0,0
described,0,3,1,0,0,0
describes,0,0,1,0,0,0
description,0,0,1,0,0,0
descriptions,0,1,0,0,0,0
desert,1,0,0,0,0,0
deserve,0,0,2,0,0,0
deserves,0,1,3,0,3,0
deserving,1,0,0,0,0,0
designate,0,1,0,0,0,0
designed,1,1,2,0,0,0
desirable,1,3,6,0,0,0
desire,2,2,4,2,0,0
desired,2,1,3,1,0,0
desist,0,0,1,0,0,0
despair;,1,0,0,0,0,0
desperate,0,0,1,0,0,0
desperately,0,0,2,0,0,0
desperation,0,0,1,0,0,0
despite,19,6,21,1,11,0
dess,0,0,1,0,0,0
destabilization,0,0,1,0,0,0
destination,1,0,1,0,0,0
destined,0,0,1,0,0,0
destroy,0,0,3,0,1,0
destroying,1,2,0,0,0,0
destruction,1,0,1,2,0,0
destructive,0,0,1,0,0,0
detail,4,1,15,0,0,0
detailed,0,1,8,0,0,0
details,3,3,7,0,1,0
detained,1,0,0,0,0,0
detainees,0,0,1,0,0,0
detection,0,0,1,0,0,0
detention,1,0,0,0,0,0
deter,0,0,1,0,1,0
detergents,0,0,1,0,0,0
deteriorate,0,1,1,0,0,0
deterioration,0,0,1,0,0,0
determinant,0,1,0,0,0,0
determination,0,0,4,0,0,0
determine,2,0,4,0,0,0
determined,0,6,3,0,0,0
determining,0,1,1,1,0,0
deterred,0,1,0,0,0,0
deterrence,0,0,1,0,0,0
detours,1,0,0,0,0,0
detract,0,1,0,0,0,0
detracts,0,2,0,0,0,0
detriment,0,1,0,0,2,0
detrimental,0,0,1,0,0,0
devastated,0,0,1,0,0,0
devastating,1,0,2,0,0,0
develop,0,5,7,2,1,0
developed,3,2,7,1,1,0
developing,3,8,14,1,1,0
development,15,9,48,2,3,1
development-oriented,0,0,1,0,0,0
developments,2,2,6,1,1,0
devices,0,1,2,0,0,0
devised,1,0,0,0,1,1
devising,0,0,1,0,0,0
devoid,0,0,1,0,0,0
devoted,1,1,1,0,1,0
devoting,1,0,0,0,0,0
dg,0,0,1,0,0,0
diabetes,0,0,1,0,0,0
diagnoses,0,0,1,0,0,0
diagnosis,1,0,2,0,0,0
diagnostic,0,0,1,0,0,0
dialogue,2,4,23,2,2,0
dialogue;,1,0,0,0,0,0
dialogues,0,0,1,0,0,0
dialysis,0,1,0,0,0,0
diametrically,1,0,0,0,0,0
dictate,0,1,0,0,0,0
dictator,0,0,1,0,1,0
dictatorial,0,0,3,0,0,0
dictatorship,0,1,3,0,0,0
dictum,0,0,1,0,0,0
did,31,63,76,0,12,1
didn’t,0,1,0,0,0,0
die,0,1,3,0,0,0
died,1,0,0,0,0,0
diesel,0,1,0,0,0,0
diet,0,1,0,0,0,0
dieudonné,0,0,1,0,0,0
differ,0,3,3,0,0,0
differed,0,0,1,0,0,0
difference,1,2,3,0,0,0
differences,5,4,10,1,0,0
different,25,22,48,1,6,0
differentials,0,1,0,0,0,0
differentiate,0,0,1,0,0,0
differentiated,2,0,4,0,0,0
differentiating,0,0,1,0,0,0
differently,3,2,3,0,1,0
differing,1,0,1,0,0,0
differs,0,0,1,0,0,0
difficult,11,15,51,1,8,0
difficulties,2,9,15,1,3,0
difficulty,0,5,2,0,0,0
difficult’,0,1,0,0,0,0
dig,0,0,1,0,0,0
digest,0,0,1,0,0,0
digital,0,1,2,0,0,0
dignity,1,2,2,0,0,0
digress,0,0,2,0,0,0
digressivity,0,1,0,0,0,0
dilemma,1,1,2,0,0,0
diligently,0,0,1,0,0,0
dimension,1,3,4,0,0,0
diminish,0,1,1,0,0,0
dioxin,0,0,1,0,0,0
diploma,0,0,0,0,1,0
diplomacy,1,0,4,0,0,0
diplomatic,1,0,2,1,0,0
diplomats,1,1,0,0,0,0
dire,1,0,0,0,0,0
direct,2,5,7,0,0,1
directed,0,0,2,0,0,0
direction,11,6,31,1,1,0
directive,14,28,35,1,6,1
directive',1,0,0,0,0,0
directive;,0,0,1,0,0,0
directives,5,0,8,0,0,0
directives;,1,0,0,0,0,0
directly,3,3,10,0,0,0
director,0,0,1,0,0,0
director's,0,0,1,0,0,0
directorate,1,0,0,0,0,0
directorate-general,1,0,1,0,0,0
directorates-general,1,0,0,0,0,0
disability,0,0,1,0,0,0
disabled,1,0,4,0,0,0
disadvantage,1,1,1,0,0,0
disadvantaged,0,0,1,0,0,0
disadvantages,0,2,3,0,0,0
disagree,3,13,6,0,6,1
disagreeable,0,0,1,0,0,0
disagreement,0,2,0,0,2,0
disagreements,1,0,0,0,0,0
disappear,1,0,1,0,0,0
disappearance,1,0,0,0,0,0
disappeared,0,0,1,0,0,0
disappearing,0,1,1,0,0,0
disappoint,1,0,1,0,0,0
disappointed,2,9,1,0,1,0
disappointing,3,1,4,0,3,0
disappointment,1,1,1,0,0,0
disapprove,0,0,1,0,0,0
disarmament,0,1,0,0,0,0
disarmed,0,0,1,0,0,0
disarming,0,0,1,0,0,0
disaster,1,2,10,0,1,0
disasters,1,0,3,0,1,0
disastrous,3,0,1,0,0,0
discards,1,1,1,0,0,0
discerned,1,0,0,0,0,0
discharge,1,1,7,0,0,0
discharged,1,1,1,0,0,0
discipline,1,0,2,2,0,0
disciplined,0,1,0,0,0,0
disciplines,0,0,1,0,0,0
disclosed,0,0,1,0,0,0
disconcerted,2,0,0,0,0,0
disconcerting,0,1,0,0,0,0
discontinued,0,1,1,0,0,0
discord,0,1,0,0,0,0
discordant,0,0,1,0,0,0
discount,0,0,1,0,0,0
discouraged,0,0,1,0,0,0
discouraging,1,0,0,0,0,0
discourse,0,0,1,0,0,0
discovered,1,1,4,0,1,0
discreet,0,0,1,0,1,0
discrepancies,1,0,0,0,0,0
discretion,0,2,0,0,0,0
discretion;,0,1,0,0,0,0
discretionary,0,0,2,0,0,0
discriminating,0,0,1,0,0,0
discrimination,2,2,4,0,1,0
discriminatory,1,0,0,0,0,0
discuss,1,1,7,0,1,0
discussed,1,6,13,0,1,0
discussed;,0,0,1,0,0,0
discussing,3,4,8,1,1,0
discussion,7,5,9,1,0,0
discussions,2,4,7,1,1,0
disease,2,4,2,1,0,0
diseases,0,2,3,1,0,0
disempower,0,0,1,0,0,0
disguise,0,1,0,0,0,0
disguised,1,0,0,0,0,0
disguising,0,0,1,0,0,0
disgust,1,0,0,0,0,0
disgusting,0,1,0,0,0,0
disingenuous,1,0,0,0,0,0
disintegration,0,0,1,0,0,0
dislike,0,1,0,0,0,0
dismantled,0,1,0,0,0,0
dismissed,1,0,0,0,1,0
disordered,0,0,1,0,0,0
disorders,0,0,1,0,0,0
disparate,1,0,0,0,0,0
disparities,0,0,1,0,0,0
disparity,0,0,1,0,0,0
dispelled,1,1,0,0,0,0
dispense,0,0,1,0,0,0
displaced,0,0,1,0,0,0
displayed,1,0,0,0,0,0
displaying,0,0,1,0,0,0
displays,1,0,0,0,0,0
disposal,0,0,2,1,0,0
disposed,0,0,2,0,0,0
disposing,0,0,1,0,0,0
dispositions,0,1,0,0,0,0
disproportionate,0,2,0,0,0,0
disputable,0,1,0,0,0,0
dispute,2,1,6,0,0,0
disputed,0,0,0,0,0,1
disputes,3,2,2,0,1,0
disquiet,0,0,1,0,0,0
disregard,0,1,1,0,0,0
disregarded,0,1,1,0,0,0
disregards,0,1,1,0,1,0
disruptive,1,0,0,0,0,0
dissatisfaction,0,0,2,0,0,0
dissatisfied,0,0,1,0,0,0
disseminated,0,0,1,0,0,0
dissemination,0,0,1,0,0,0
dissent,0,0,1,0,0,0
disservice,0,0,1,0,1,0
dissociated,0,0,0,0,1,0
dissolvents,0,1,0,0,0,0
dissuasive,0,0,1,0,0,0
distance,0,4,2,0,1,0
distances,1,0,0,0,0,0
distancing,1,0,0,0,0,0
distant,1,1,2,0,0,0
distillation,0,0,1,0,0,1
distinct,1,0,0,0,1,0
distinction,0,1,1,1,0,0
distinguish,0,0,0,0,1,0
distort,0,0,1,0,0,0
distorting,0,1,0,0,0,0
distortion,1,0,2,0,0,0
distortions,0,0,0,1,0,0
distract,0,2,1,0,0,0
distraction,0,0,2,0,0,0
distressing,0,1,0,0,0,0
distributed,1,0,1,0,0,0
distribution,1,1,3,0,0,0
distributor,0,0,1,0,0,0
disturb,0,0,1,0,0,0
disturbed,1,1,1,0,0,0
disturbing,0,2,0,0,0,0
divergent,0,1,0,0,0,0
diverges,0,1,0,0,0,0
diverse,0,0,3,0,0,0
diversification,0,0,1,0,0,0
diversify,0,0,2,0,0,0
diversion,1,0,0,0,0,0
diversities,0,0,1,0,0,0
diversity,1,0,6,0,0,0
divide,0,1,0,0,0,0
divided,2,1,1,0,1,0
divides,0,1,0,0,0,0
dividing,0,0,3,0,0,0
division,0,2,2,0,0,0
divisive,0,0,1,0,0,0
divorces,0,0,1,0,0,0
dizzying,0,0,1,0,0,0
do,127,416,484,2,105,12
do's,0,0,1,0,0,0
do-nothing,1,0,0,0,0,0
doctor,0,1,0,0,0,0
doctors,0,0,3,0,1,0
document,2,6,8,0,2,1
document's,0,0,1,0,0,0
documentation,1,0,0,0,0,0
documents,0,1,5,0,1,0
does,62,286,243,5,56,7
doesn't,0,0,1,0,0,0
doggedly,0,0,1,0,0,0
dogma,1,0,0,0,0,0
dogs,1,0,1,0,0,0
doha,3,0,2,0,0,0
doing,8,9,23,0,3,0
dollar,0,0,2,0,0,0
dollars,0,0,1,0,0,1
dolphin-friendly,0,0,1,0,0,0
domain,1,0,1,1,0,0
dombrovskis,0,1,0,0,0,0
domestic,2,0,7,1,0,0
domestically,0,0,1,0,0,0
dominance,0,0,1,0,0,0
dominant,1,0,0,0,0,0
dominate,0,1,1,0,0,0
dominated,0,2,0,0,0,0
don't,0,0,1,0,0,0
donated,0,0,1,0,0,0
donations,0,1,0,1,0,0
done,21,26,65,1,3,1
done;,0,0,2,0,0,0
donors,0,0,0,1,0,0
doomed,1,0,1,0,0,0
door,0,1,3,0,1,0
doors,1,0,0,0,0,0
dopey,0,0,1,0,0,0
doping,1,0,0,0,0,0
dossier,0,1,3,0,1,0
dossiers,0,0,1,0,0,0
double,0,0,1,1,0,0
double-dealing,1,0,0,0,0,0
doubt,11,18,23,0,6,1
doubtful,1,5,2,0,0,0
doubtless,0,2,2,0,1,0
doubts,1,9,1,0,1,0
dover,0,1,0,0,0,0
dovers,0,0,1,0,0,0
down,18,10,25,2,2,0
downfall,0,0,1,0,0,0
downloading,0,1,0,0,0,0
downright,2,0,0,0,0,0
downs,0,0,1,0,0,0
downside,0,1,1,0,1,0
downstairs,0,0,0,0,1,0
downturn,0,0,1,0,0,0
downward,0,1,0,0,0,0
dozens,0,1,0,0,0,0
dr,0,0,1,0,0,0
draft,3,3,6,0,2,0
drafted,0,1,0,0,0,0
drafting,2,0,2,0,0,0
drafts,1,0,1,0,0,0
draftsmen,0,0,1,0,0,0
drain,0,0,1,0,0,0
drainage,0,0,1,0,0,0
drama,0,0,1,0,0,0
dramatic,1,2,2,0,1,0
dramatically,1,1,0,0,0,0
drastic,0,0,2,0,0,0
drastically,1,0,0,0,0,0
draw,6,17,6,0,3,0
drawback,0,1,2,0,0,0
drawbacks,0,0,0,0,2,0
drawing,2,2,1,0,0,0
drawn,3,3,4,0,2,0
draws,0,5,3,0,0,1
dreadful,1,0,1,0,0,0
dream,1,2,3,0,1,0
dreams,0,1,1,0,0,0
drei,0,0,1,0,0,0
drew,0,1,0,0,0,0
